 57 1012 405 1571  #UTIL: 4535
 57 1012 405 1571 1386  #UTIL: 4651
 57 1012 405 1386  #UTIL: 4221
 57 1012 1571  #UTIL: 1515
 57 1012 1571 1386  #UTIL: 1631
 57 1012 1386  #UTIL: 1201
 57 405  #UTIL: 3249
 57 405 1571  #UTIL: 3679
 57 405 1571 1386  #UTIL: 3795
 57 405 1386  #UTIL: 3365
 57 1571  #UTIL: 659
 57 1571 1386  #UTIL: 775
 57 1386  #UTIL: 345
 2123  #UTIL: 2015
 2123 1693  #UTIL: 2026
 2123 1693 69  #UTIL: 2051
 2123 69  #UTIL: 2040
 1693 69  #UTIL: 36
 1693 1436  #UTIL: 146
 430  #UTIL: 265
 430 902  #UTIL: 287
 430 902 1070  #UTIL: 793
 430 902 1070 1430  #UTIL: 955
 430 902 1430  #UTIL: 449
 430 1070  #UTIL: 771
 430 1070 1430  #UTIL: 933
 430 1430  #UTIL: 427
 902 1070  #UTIL: 528
 902 1070 1430  #UTIL: 690
 902 1430  #UTIL: 184
 1070  #UTIL: 675
 1070 1430  #UTIL: 668
 1070 1359  #UTIL: 255
 1070 562  #UTIL: 596
 1430  #UTIL: 162
 1576  #UTIL: 51
 1576 615  #UTIL: 455
 1576 615 94  #UTIL: 521
 1576 94  #UTIL: 72
 1576 1317  #UTIL: 58
 1576 1317 720  #UTIL: 216
 1576 720  #UTIL: 203
 615  #UTIL: 449
 615 94  #UTIL: 515
 94  #UTIL: 66
 173  #UTIL: 132
 173 1353  #UTIL: 176
 173 1353 2095  #UTIL: 3135
 173 2095  #UTIL: 3091
 1353  #UTIL: 44
 1353 2095  #UTIL: 3003
 2095  #UTIL: 2959
 847  #UTIL: 31
 1537  #UTIL: 1722
 2109  #UTIL: 379
 2109 1780  #UTIL: 442
 1780  #UTIL: 63
 458  #UTIL: 113
 458 1643  #UTIL: 363
 458 1643 429  #UTIL: 1335
 458 1643 429 580  #UTIL: 1580
 458 1643 580  #UTIL: 608
 458 429  #UTIL: 1085
 458 429 580  #UTIL: 1330
 458 580  #UTIL: 358
 1643  #UTIL: 281
 1643 429  #UTIL: 1222
 1643 429 580  #UTIL: 1467
 1643 580  #UTIL: 495
 1643 452  #UTIL: 139
 1643 1775  #UTIL: 157
 429  #UTIL: 972
 429 580  #UTIL: 1217
 580  #UTIL: 245
 58  #UTIL: 229
 986  #UTIL: 70
 978  #UTIL: 194
 978 431  #UTIL: 375
 978 431 482  #UTIL: 762
 978 431 482 1614  #UTIL: 936
 978 431 1614  #UTIL: 549
 978 482  #UTIL: 581
 978 482 1614  #UTIL: 755
 978 1614  #UTIL: 368
 431  #UTIL: 181
 431 482  #UTIL: 568
 431 482 1614  #UTIL: 742
 431 1614  #UTIL: 355
 482  #UTIL: 387
 482 1614  #UTIL: 561
 1614  #UTIL: 174
 449  #UTIL: 2451
 449 1426  #UTIL: 2091
 449 1426 2181  #UTIL: 2473
 449 2181  #UTIL: 2079
 82  #UTIL: 44
 82 1436  #UTIL: 183
 82 1436 142  #UTIL: 330
 82 1436 142 2085  #UTIL: 1316
 82 1436 142 2085 2091  #UTIL: 2264
 82 1436 142 2091  #UTIL: 1278
 82 1436 2085  #UTIL: 1169
 82 1436 2085 2091  #UTIL: 2117
 82 1436 2091  #UTIL: 1131
 82 142  #UTIL: 191
 82 142 2085  #UTIL: 1177
 82 142 2085 2091  #UTIL: 2125
 82 142 2091  #UTIL: 1139
 82 2085  #UTIL: 1030
 82 2085 2091  #UTIL: 1978
 82 2091  #UTIL: 992
 1436  #UTIL: 557
 1436 142  #UTIL: 286
 1436 142 2085  #UTIL: 1272
 1436 142 2085 2091  #UTIL: 2220
 1436 142 2091  #UTIL: 1234
 1436 2085  #UTIL: 1125
 1436 2085 2091  #UTIL: 2073
 1436 2091  #UTIL: 1087
 1436 1078  #UTIL: 957
 142  #UTIL: 147
 142 2085  #UTIL: 1133
 142 2085 2091  #UTIL: 2081
 142 2091  #UTIL: 1095
 2085  #UTIL: 986
 2085 2091  #UTIL: 1934
 2091  #UTIL: 948
 65  #UTIL: 391
 1655  #UTIL: 3296
 1655 2364  #UTIL: 1821
 2364  #UTIL: 464
 1739  #UTIL: 82
 1739 965  #UTIL: 468
 1739 1567  #UTIL: 287
 1739 1567 1715  #UTIL: 325
 1739 1567 1715 189  #UTIL: 394
 1739 1567 189  #UTIL: 356
 1739 1715  #UTIL: 65
 1739 1715 189  #UTIL: 134
 1739 189  #UTIL: 96
 965  #UTIL: 413
 1426  #UTIL: 1576
 1426 2181  #UTIL: 776
 1467  #UTIL: 975
 1682 2105  #UTIL: 2974
 2105  #UTIL: 2959
 1631  #UTIL: 48
 1631 1591  #UTIL: 69
 1631 1591 1773  #UTIL: 132
 1631 1591 1773 442  #UTIL: 793
 1631 1591 1773 442 46  #UTIL: 1013
 1631 1591 1773 46  #UTIL: 352
 1631 1591 442  #UTIL: 730
 1631 1591 442 46  #UTIL: 950
 1631 1591 46  #UTIL: 289
 1631 1773  #UTIL: 111
 1631 1773 442  #UTIL: 772
 1631 1773 442 46  #UTIL: 992
 1631 1773 46  #UTIL: 331
 1631 442  #UTIL: 709
 1631 442 46  #UTIL: 929
 1631 46  #UTIL: 268
 1591 1773  #UTIL: 84
 1591 1773 442  #UTIL: 745
 1591 1773 442 46  #UTIL: 965
 1591 1773 46  #UTIL: 304
 1591 442  #UTIL: 682
 1591 442 46  #UTIL: 902
 1591 46  #UTIL: 241
 1773  #UTIL: 63
 1773 442  #UTIL: 724
 1773 442 46  #UTIL: 944
 1773 46  #UTIL: 283
 442  #UTIL: 661
 442 46  #UTIL: 881
 46  #UTIL: 220
 2514  #UTIL: 869
 2514 441  #UTIL: 712
 2514 441 1394  #UTIL: 946
 2514 441 1394 1975  #UTIL: 7365
 2514 441 1975  #UTIL: 7131
 2514 1394  #UTIL: 495
 2514 1394 1975  #UTIL: 6914
 2514 1975  #UTIL: 6680
 2514 446  #UTIL: 1039
 2514 446 1450  #UTIL: 1205
 2514 446 1450 181  #UTIL: 1484
 2514 446 181  #UTIL: 1318
 2514 1450  #UTIL: 774
 2514 1450 181  #UTIL: 1053
 2514 181  #UTIL: 887
 441  #UTIL: 1352
 441 1394  #UTIL: 685
 441 1394 1975  #UTIL: 7104
 441 1975  #UTIL: 6870
 441 1367  #UTIL: 734
 441 1367 130  #UTIL: 832
 441 130  #UTIL: 774
 1394  #UTIL: 234
 1394 1975  #UTIL: 6653
 1975  #UTIL: 6419
 105  #UTIL: 311
 425  #UTIL: 543
 425 1704  #UTIL: 550
 1941  #UTIL: 1065
 1941 693  #UTIL: 1524
 693  #UTIL: 459
 2189  #UTIL: 80
 1210  #UTIL: 929
 63  #UTIL: 196
 63 51  #UTIL: 412
 63 51 208  #UTIL: 2030
 63 208  #UTIL: 1814
 51  #UTIL: 216
 51 208  #UTIL: 1834
 208  #UTIL: 1618
 434  #UTIL: 1618
 434 188  #UTIL: 2060
 188  #UTIL: 442
 1652  #UTIL: 681
 1446  #UTIL: 468
 1446 1359  #UTIL: 583
 1446 1359 462  #UTIL: 1745
